author,title,description,url,publishedAt,content,source_id,source_name
Ben Lynch,Soho: Business owners urge mayor to not forget area,Businesses in Soho call on London's mayor to not forget about the area in his regeneration plans.,https://www.bbc.co.uk/news/articles/c5yrl1vgne9o,2024-10-26T11:30:42Z,"In its letter to the mayor, SBA said they were concerned that if Soho was excluded from the Mayoral Development Corporation (MDC) for Oxford Street there could be an adverse impact on pedestrians, cy… [+1754 chars]",bbc-news,BBC News
https://www.facebook.com/bbcnews,Fraudsters steal 22 tonnes of high-value cheddar,Fraudsters targeted the high-value cheddar by pretending to be legitimate wholesalers.,https://www.bbc.co.uk/news/articles/cje03dq2pyyo,2024-10-25T17:54:20Z,"More than 22 tonnes of three artisan cheddars, including Hafod Welsh, Westcombe, and Pitchfork were taken, which are all award-winning and have a high monetary value.
Neal's Yard Dairy sells Hafod W… [+500 chars]",bbc-news,BBC News
Tom Espiner,Budget 2024: UK pledges thousands of new jobs in freeports plan,"Critics have said freeports do not boost actual job numbers, but move investment to a different area instead.",https://www.bbc.co.uk/news/articles/c0j8w73pdn8o,2024-10-25T12:12:24Z,"Critics have suggested, however, that they simply move economic activity or jobs from one part of the country to another, rather than creating new opportunities or roles.
Sir Keir said ""that's why w… [+1413 chars]",bbc-news,BBC News
Simon Jack & Dearbail Jordan,Thames Water thrown cash lifeline to survive into 2025,The UK's biggest utility company agrees a lifeline to help it last until next October.,https://www.bbc.co.uk/news/articles/c704wzx38p1o,2024-10-25T07:30:52Z,"One in four people in the UK rely on Thames for their supply and its customers are facing a steep rise in bills.
In July, the company had told water regulator Ofwat that it wanted to increase annual… [+787 chars]",bbc-news,BBC News
Emma Vardy,Menendez brothers should be released on parole - Los Angeles DA,Erik and Lyle Menendez were convicted of killing their parents in a case that gained worldwide attention.,https://www.bbc.co.uk/news/articles/cvglmv4lgx0o,2024-10-24T22:43:29Z,"Mr Gascón said his office plans to file a re-sentencing recommendation in court on Friday. It will contain details and evidence arguing for a lesser sentence. 
A hearing will be scheduled, which off… [+2028 chars]",bbc-news,BBC News
Faisal Islam & Tom Espiner,Rachel Reeves: Chancellor changes debt rules to release billions,Reeves has said the government will change these rules to free up billions for spending on big projects.,https://www.bbc.co.uk/news/articles/cvg745ggn3no,2024-10-24T15:06:19Z,"The government has committed to get debt falling as share of the economy in five years' time.
The wider debt measure is expected to allow for up to £50bn more borrowing for investment, although not … [+1931 chars]",bbc-news,BBC News
Dearbail Jordan,"Pubs face closure without Budget help, says industry giant",The boss of Britain's biggest pubs group urges the chancellor to extend business rates relief.,https://www.bbc.co.uk/news/articles/cpvzypy8ndyo,2024-10-24T09:48:26Z,"Along with other costs the businesses are facing, he feared ""they dont have any more to give"".
Rates relief was introduced for pubs, restaurants, bars and cafes in 2020 in response to the Covid pand… [+2309 chars]",bbc-news,BBC News
BBC Radio 4,Wormholes,"Melvyn Bragg and guests discuss the tantalising idea that there are shortcuts between distant galaxies, somewhere out there in the universe. The idea emerged in the context of Einstein's theories and the challenge has been not so much to prove their unlikely …",https://www.bbc.co.uk/programmes/m00237yt,2024-10-24T08:02:00Z,"Melvyn Bragg and guests discuss the tantalising idea that there are shortcuts between distant galaxies, somewhere out there in the universe. The idea emerged in the context of Einstein's theories and… [+1411 chars]",bbc-news,BBC News
Faisal Islam,IMF deputy head warns world to avoid global trade war,Economic fears have been rising over Donald Trump's mega-tariff plan and rising US debts.,https://www.bbc.co.uk/news/articles/c1lg5reqlpyo,2024-10-24T05:04:29Z,"IMF Deputy Managing Director Gita Gopinath said the Fund could not yet assess the specifics of Trump's trade plans, but thinks that if you have some very serious decoupling and broad scale use of tar… [+1377 chars]",bbc-news,BBC News
Christy Cooney,"Disposable vapes to be banned from June, says government",Ministers say the move is intended to prevent environmental damage and protect children's health.,https://www.bbc.co.uk/news/articles/cd7n3zyp114o,2024-10-24T04:45:10Z,"Disposable vapes are difficult to recycle and typically end up landfill, where their batteries can leak harmful waste like battery acid, lithium, and mercury into the environment, the government said… [+2659 chars]",bbc-news,BBC News
Anthony Zurcher,Why Harris moved from 'joy' to calling Trump a 'fascist',The shift in message is a bid to win over moderate Republicans - but the former president accuses her of peddling lies.,https://www.bbc.co.uk/news/articles/c1dp7xnyr51o,2024-10-24T01:42:18Z,"On Friday, she will hold a rally in Texas the state she has said most dramatically represents the anti-abortion future if Trump is back in power. Next Tuesday, she will shift focus to Washington DC, … [+1419 chars]",bbc-news,BBC News
Bbc News,"Attack at Turkish aviation company causes deaths, says minister",Turkey's interior minister says people have been killed or injured in the blast.,https://www.bbc.co.uk/news/articles/cwyg565e8wpo,2024-10-23T14:12:18Z,"They said that the blast took place around the time of a shift change, and staff had to be directed to shelters.
Firefighters and medical teams have been dispatched to the scene.
Ankara metropolita… [+501 chars]",bbc-news,BBC News
Bbc News,Trump campaign accuses Labour of election interference as Starmer tries to play down row,The Labour Party is sending volunteers to campaign for Kamala Harris - causing Trump's team to complain to the Federal Election Commission.,https://www.bbc.co.uk/news/live/c1jrld1kjp3t,2024-10-23T05:56:22Z,"Chris MasonPolitical editor, travelling with Keir Starmer
Prime Minister Sir Keir Starmer has sought to play down the significance of alleged interference by the Labour Party in the American preside… [+1044 chars]",bbc-news,BBC News
Chris Mason,Labour volunteers in US helping Harris 'in spare time' - UK PM Starmer,Sir Keir Starmer says his party sends volunteers to the US for 'pretty much every' presidential election.,https://www.bbc.co.uk/news/articles/c62m2pde4p6o,2024-10-23T04:57:28Z,"Foreign nationals are permitted to serve as volunteers on campaigns in the US as long as they are not compensated, according to Federal Election Commission rules.
The complaint from the Trump Campai… [+1404 chars]",bbc-news,BBC News
Bbc News,New Starbucks boss plans 'fundamental change' and simpler menu,Starbucks also said it will suspend its annual financial forecasts as its profits decline.,https://www.bbc.co.uk/news/articles/czxgxjrdy80o,2024-10-23T03:23:26Z,"Starbucks needed to fundamentally change to bring back customers, Mr Niccol, who took over as chief executive in September, said.
""We will simplify our overly complex menu, fix our pricing architect… [+1080 chars]",bbc-news,BBC News
Thomas Naadi,Idris Elba: Why I'm planning a move to Africa,The British star is backing film projects across the continent and wants to be closer to the action.,https://www.bbc.co.uk/news/articles/c98yz7pxrlko,2024-10-22T23:01:11Z,"""This sector is a soft power, not just across Ghana but across Africa.
""If you watch any film or anything that has got to do with Africa, all youre going to see is trauma, how we were slaves, how we… [+1204 chars]",bbc-news,BBC News
Max Matza,McDonald's hamburgers linked to deadly E. coli outbreak in the US,"At least 49 people have been sickened and one person has died, according to the CDC.",https://www.bbc.co.uk/news/articles/c33v3klkdy8o,2024-10-22T21:25:08Z,"The fast-food restaurant is working with investigators to determine which ingredients caused the outbreak, according to a statement from the CDC.
McDonalds has pulled ingredients for these burgers, … [+2612 chars]",bbc-news,BBC News
,Ex-Abercrombie CEO arrested on sex trafficking charges,"The former CEO of Abercrombie & Fitch and his partner have been arrested and charged with running a prostitution and international sex trafficking business. Also on the programme, after Moldova voted for pro-EU constitutional changes by only 0.16 of a percent…",https://www.bbc.co.uk/programmes/w172zb943g8f8k4,2024-10-22T21:09:00Z,"The former CEO of Abercrombie &amp; Fitch and his partner have been arrested and charged with running a prostitution and international sex trafficking business. Also on the programme, after Moldova v… [+439 chars]",bbc-news,BBC News
Faisal Islam,"UK growth 'set to accelerate' to 1.5% next year, says IMF",The global financial institution predicts stronger UK growth of 1.1% this year and 1.5% next year.,https://www.bbc.co.uk/news/articles/c3vkv9qwl5do,2024-10-22T13:12:41Z,"The IMF's global forecast shows the world economy has proven resilient, with richer countries having made up for lost pandemic growth.
The US continues to outperform all its peers in the G7 group of… [+2300 chars]",bbc-news,BBC News
João Da Silva,HSBC names first female finance chief in shakeup,Pam Kaur is the first woman in the banking giant's 159-year history to become its chief financial officer.,https://www.bbc.co.uk/news/articles/cg787nkl8nno,2024-10-22T07:50:20Z,"As well as becoming HSBC's chief financial officer, Ms Kaur will also take up the role of executive director of the board, which is subject to election at the firm's next annual general meeting.
""We… [+733 chars]",bbc-news,BBC News
Bbc News,Government borrowing for September third highest on record,Borrowing - the difference between spending and tax revenue - came in lower than expected on Tuesday.,https://www.bbc.co.uk/news/articles/c981857nl79o,2024-10-22T06:23:47Z,"Government borrowing rose last month, marking the third-highest September since records began in January 1993.
Official figures show that borrowing - the difference between spending and tax revenue … [+283 chars]",bbc-news,BBC News
João Da Silva,Blade Runner 2049 producers sue Elon Musk over cybercab images,Alcon Entertainment says it denied a request to use material from the film at the Tesla cybercab event.,https://www.bbc.co.uk/news/articles/ce3z37dpvl9o,2024-10-22T05:41:51Z,"The financial magnitude of the misappropriation here was substantial,"" the lawsuit said, external.
""Any prudent brand considering any Tesla partnership has to take Musks massively amplified, highly … [+573 chars]",bbc-news,BBC News
Simon Jack,Water bills set to rise by more than expected,"The regulator will allow higher bills to fund growing costs and investment, the BBC understands.",https://www.bbc.co.uk/news/articles/c8elewdzy59o,2024-10-22T02:43:43Z,"Later this week, the government will also announce plans that are expected to lead to the biggest overhaul of the water industry since privatisation in the late 1980s. 
The aim is to protect custome… [+909 chars]",bbc-news,BBC News
Zoe Conway,"New workers' rights to cost businesses £5bn a year, government says",Firms will face additional costs over the measures which include boosts to sick pay and unfair dismissal rights.,https://www.bbc.co.uk/news/articles/cvgdgx8vze8o,2024-10-21T17:35:21Z,"Ben Smith, from specialist employment law firm GQ|Littler, said it would be ""painful"" in the short term for businesses trying to cope with the extra red tape, while the longer term positive outcomes … [+1994 chars]",bbc-news,BBC News
Mark Savage,"Original Iron Maiden singer Paul D'Anno dies, aged 66",The band's first singer appeared on two albums before being replaced by Bruce Dickinson.,https://www.bbc.co.uk/news/articles/cy0l0nnnekdo,2024-10-21T17:00:05Z,"Born in Chingford, east London, in 1958, Di'Anno sang with numerous bands as a teenager, while working as a butcher and a chef.
In 1977, he befriended bass player Steve Harris, who was seeking a sin… [+1996 chars]",bbc-news,BBC News
Sam Cabral And James Fitzgerald,Is Musk's $1m-a-day cash giveaway to US voters legal?,Two voters have already picked up their lottery-style cheques for a million dollars from Elon Musk.,https://www.bbc.co.uk/news/articles/ced0d1g5zyno,2024-10-21T15:55:03Z,"""I believe [Elon] Musk's offer is likely illegal,"" said Paul Schiff Berman, the Walter S. Cox Professor of Law at the George Washington University.
He pointed to the US Code of electoral law, which … [+1414 chars]",bbc-news,BBC News
Emma Saunders,Liam Payne: Has the music industry let young pop stars down?,"Is duty of care to musicians, particularly young artists, being addressed in the music industry?",https://www.bbc.co.uk/news/articles/ckgnmmgrxz6o,2024-10-21T13:39:53Z,"Matt Thomas, who co-founded the charity Music Support in 2016 after two decades as a record label executive and artist manager, said he had seen ""massive changes"" in recent years.
""I actually think … [+2433 chars]",bbc-news,BBC News
Rachael Mcmenemy,Woman admits hurling McDonald's milkshake over Nigel Farage,Victoria Thomas Bowen threw the drink at the Reform UK leader as he was campaigning in June.,https://www.bbc.co.uk/news/articles/cd7x17ljpzgo,2024-10-21T10:23:32Z,"Andrew Price, defending, told the court ""a number of threats"" had been made against Thomas Bowen and the case ""has had a tremendous impact"" on her. 
He said she had tried to put it out of her mind a… [+1146 chars]",bbc-news,BBC News
Michael Sheils Mcnamee,"New young drivers should not have under-21s as passengers, says AA",It is also proposed that under-21s could lose their licences for not wearing a seatbelt.,https://www.bbc.co.uk/news/articles/c361g6nz5j1o,2024-10-21T08:21:35Z,"If it were brought in across the UK, it would mean young drivers marking their vehicles with G plates - with a failure to display them punishable with three points on their licence. 
While the propo… [+2514 chars]",bbc-news,BBC News
Bbc News,TikTok owner sacks intern for sabotaging AI project,Chinese technology giant ByteDance denied reports that the incident caused more than $10m of damage.,https://www.bbc.co.uk/news/articles/c7v62gg49zro,2024-10-21T02:50:19Z,"""The individual was an intern with the [advertising] technology team and has no experience with the AI Lab,"" ByteDance said in a statement.
""Their social media profile and some media reports contain… [+947 chars]",bbc-news,BBC News
Sarah Rainsford,Moldova referendum: Provision results show thin margin for EU membership,Moldovans are facing a choice between pushing on with EU membership or keeping close ties to Russia.,https://www.bbc.co.uk/news/articles/c1wnr5qdxe7o,2024-10-20T18:06:17Z,"At Sandu's election headquarters on Sunday evening, the mood was extremely subdued, with one of her advisers describing the result so far as ""not what we expected"". 
Sandu, who has cultivated close … [+1750 chars]",bbc-news,BBC News
Tom Bennett,Elon Musk pledges to give away $1m per day to Pennsylvania voters,The winner will be chosen from those who sign a petition by the tech billionaire's Trump-supporting campaign group.,https://www.bbc.co.uk/news/articles/cg78ljxn8g7o,2024-10-20T11:43:33Z,"Those who sign the petition - which pledges to support free speech and gun rights - will have to give their contact details, potentially allowing AmericaPAC to contact them about their vote. 
Musk h… [+1745 chars]",bbc-news,BBC News
Susie Rack,Ombersley man completes 400-mile charity mental health walk,"Mark Phillips, from Ombersley, says he struggled mentally after his business collapsed.",https://www.bbc.co.uk/news/articles/c3wpj28jeqjo,2024-10-20T11:09:04Z,"Despite his ""legs killing"", he made it to his final destination two weeks later, raising more than £2,000 for three charities.
""It's fantastic... people have taken notice of what I've done,"" he said… [+516 chars]",bbc-news,BBC News
Eimear Flanagan,Stillbirth: 'Irish database means our son will not be forgotten',An Irish mother whose eldest boy was stillborn hails the importance of a new public record of loss.,https://www.bbc.co.uk/news/articles/c4gqlwvygdno,2024-10-20T05:50:04Z,"In recent years much of the secrecy that once surrounded stillbirth and miscarriage has dissipated as more parents like Maria choose to speak out about baby loss. 
Those changing attitudes are also … [+1877 chars]",bbc-news,BBC News
Benjamin Wright,Zayn Malik postpones US tour after 'heartbreaking' loss of Liam Payne,The former One Direction singer was due to start a run of US shows in San Francisco next week.,https://www.bbc.co.uk/news/articles/ce8v50lk8dpo,2024-10-19T18:32:44Z,"Payne and Malik rose to global fame as part of the boyband One Direction - created on The X Factor TV show in 2010 - and sang together with bandmates Harry Styles, Louis Tomlinson, and Niall Horan.
… [+1077 chars]",bbc-news,BBC News
Danai Nesta Kupemba,Why African leaders like Cameroon's President Paul Biya hides his health,There is a long history of African leaders hiding or lying about their health to keep rivals at bay.,https://www.bbc.co.uk/news/articles/ce3w73n8dqdo,2024-10-19T08:17:41Z,"Chakwera and Biya used very different approaches to tackle the rumours about illnesses, but they had a similar intent - to project, and protect, an image of strength and virility.
But perhaps most i… [+2708 chars]",bbc-news,BBC News
Grace Wood,International Crisp Festival brings 70 flavours to Huddersfield,"The man behind the idea says it started as a ""silly idea"" and just grew from there.",https://www.bbc.co.uk/news/articles/cd0z9lelyn9o,2024-10-19T06:18:19Z,"The Sportsman Inn stopped serving food after the Covid lockdowns because it was difficult to make any margin on.
But Mr Fletcher said the event proved there was still a place for beer-led venues.
T… [+1093 chars]",bbc-news,BBC News
George Sandeman,Revolut: More than 100 customers contact BBC about scams,People say they have been poorly treated by the firm after being tricked out of cash while using app.,https://www.bbc.co.uk/news/articles/c9wkzv1zk91o,2024-10-19T05:45:13Z,"The e-money firm, founded in 2015 by two former bankers, has nine million customers in the UK and announced record annual profits last year of £438m.
Revolut was also named in more reports of fraud … [+1449 chars]",bbc-news,BBC News
Iain Watson,Budget 2024: Reeves considers income tax threshold freeze,Government sources insist the move would not constitute a breach of Labour's manifesto tax pledge.,https://www.bbc.co.uk/news/articles/c79npj3eqdlo,2024-10-19T04:50:33Z,"Tax thresholds were frozen by the previous Conservative government in 2022, but were due to rise again each year from 2028.
The chancellor is now said to be weighing a plan to extend the freeze for … [+806 chars]",bbc-news,BBC News
Bbc News,Boohoo considers break-up as sales slide,The online fashion firm is mulling whether to offload its brands as sales remain under pressure.,https://www.bbc.co.uk/news/articles/crkdynj42ldo,2024-10-18T14:37:08Z,"""The starting gun has been fired on the break-up of Boohoo,"" said Russ Mould, investment director at AJ Bell.
""Selling Karen Millen and Debenhams is the obvious starting point, leaving Boohoo with a… [+2075 chars]",bbc-news,BBC News
Tim Donovan,Taylor Swift: Sadiq Khan declares tickets 10 days late,London’s mayor made the declaration 10 days after the City Hall deadline for  gifts and hospitality.,https://www.bbc.co.uk/news/articles/cp39g17gr4wo,2024-10-18T13:39:25Z,"Khan attended the stars concert on 15 August the first of the second London leg of her Eras tour.
It emerged on Friday that he shared a box with members of his family, a number of City Hall staff, a… [+1700 chars]",bbc-news,BBC News
João Da Silva,"China economy slowdown deepens, official figures show","Gross domestic product rose by 4.6% on a yearly basis, below Beijing's ""around 5%"" annual target.",https://www.bbc.co.uk/news/articles/crr54x00857o,2024-10-18T09:15:22Z,"""The property market unsurprisingly remains the biggest drag on China's growth,"" said Lynn Song, chief economist for greater China at banking giant ING.
""New investment is unlikely to see a substant… [+879 chars]",bbc-news,BBC News
Faisal Islam & Mitch Labiak,Treasury hints Labour will spend billions on infrastructure,Government claims the move contrasts with former PM Liz Truss's controversial mini-Budget.,https://www.bbc.co.uk/news/articles/cvglyxn0444o,2024-10-18T05:21:09Z,"At the moment, the amount of money the government can borrow for investment is determined by government debt.
But the Treasury effectively confirmed it will loosen the long-standing self-imposed tar… [+2785 chars]",bbc-news,BBC News
Emma Vardy,The parties that led to the downfall of Sean 'Diddy' Combs,"Mr Combs' former publicist says the rapper wanted to be the ""party king"" and was obsessed with fame and power.",https://www.bbc.co.uk/news/articles/cyvyll3d1r8o,2024-10-18T02:20:13Z,"While various lawsuits detail alleged sexual assaults at parties held at Mr Combs's properties, so-called ""Freak-off"" parties at hotel rooms appear to be a focus for federal authorities. The Departme… [+3097 chars]",bbc-news,BBC News
Mitchell Labiak,"Instagram-owner Meta fires staff for buying toothpaste, not lunch",Meta workers reportedly used vouchers that should have been spent on meals to buy household goods.,https://www.bbc.co.uk/news/articles/cvgdyzq3wz5o,2024-10-17T16:51:49Z,"Meta staff are given $25 (£19) for lunch, $20 for breakfast, and $25 for dinner in vouchers which are meant to be used for ordering food from Grubhub, the US name for takeaway website Just Eat.
Post… [+1585 chars]",bbc-news,BBC News
Elliot Ball,Guernsey Post's myUKaddress scheme to help online shoppers,The free service will mean islanders can shop from retailers who do not currently ship to the Channel Islands.,https://www.bbc.co.uk/news/articles/clyl7v32585o,2024-10-17T12:27:44Z,"She said: ""We know that a frustration of island life is trying to shop online and finding out at checkout - or worse, days later - that the item you want is restricted to mainland delivery. 
""Our ne… [+960 chars]",bbc-news,BBC News
James Fitzgerald,Trump calls 6 January 'day of love' when asked about US Capitol riot,"The ex-president says 'nothing done wrong' on the day when his supporters breached the Congress, forcing lawmakers to flee.",https://www.bbc.co.uk/news/articles/ckgnxej1dn0o,2024-10-17T12:14:52Z,"During his ""town hall"" event in Miami, Florida, Trump was challenged to win back the vote of a man who said he had been disturbed by what happened after the Republican lost the 2020 vote.
""Nothing d… [+1539 chars]",bbc-news,BBC News
Joe Crowley,"Sewage illegally dumped into Windermere repeatedly over 3 years, BBC finds","United Utilities failed to report 100 million litres of illegal discharges, analysis of its data shows.",https://www.bbc.co.uk/news/articles/cdrj70dynk1o,2024-10-17T04:49:34Z,"It is not the first time that United Utilities pumping station on the edge of Windermere has come under scrutiny.
Earlier this year BBC News reported millions of litres being illegally discharged in… [+2006 chars]",bbc-news,BBC News
Kayla Epstein And Ana Faguy,Trump tells all-woman town hall he is 'father of IVF',"Trump pitches the economy and immigration as kitchen-table issues, but faces some pointed questions.",https://www.bbc.co.uk/news/articles/ce3zrvyx7zpo,2024-10-17T03:54:13Z,"The town hall was broadcast on Fox News, which provided Trump with a friendly forum where he could work to improve how women view him.
One questioner told him: I know you will fight for us in the fu… [+2606 chars]",bbc-news,BBC News
João Da Silva,US 'click to cancel' rule to tackle subscription traps,New rule requires businesses to make subscribing and cancelling subscriptions equally simple.,https://www.bbc.co.uk/news/articles/c07nlvmyl05o,2024-10-17T02:17:17Z,"Too often, businesses make people jump through endless hoops just to cancel a subscription, said FTC chair Lina Khan. 
The FTCs rule will end these tricks and traps, saving Americans time and money.… [+1737 chars]",bbc-news,BBC News
