author,title,description,url,publishedAt,content,source_id,source_name
Emily Johnson,Scarborough: Women 'dine and dash' after birthday meal,Group order oysters and wine before leaving without paying their £174 bill.,https://www.bbc.co.uk/news/articles/c2069g4gxzdo,2024-10-16T16:24:26Z,"The timing of the dine and dash incident was particularly difficult for the restaurant. 
Ms Partridge said it was one of the few seaside cafés which stayed open seven days a week during the winter s… [+511 chars]",bbc-news,BBC News
João Da Silva,Boeing raising up to $35bn as costly strike enters second month,"The firm aims to secure the new funding as a walkout by more than 30,000 workers enters its second month.",https://www.bbc.co.uk/news/articles/cwy9l7k40kgo,2024-10-16T13:51:49Z,"Boeing plans to raise up to $25bn in stock and debt offerings and said it had reached a deal with major banks to borrow as much much as $10bn. 
""These are two prudent steps to support the companys a… [+1294 chars]",bbc-news,BBC News
BBC World Service,"Trailer: World of Secrets, Al Fayed, Predator at Harrods","Egyptian billionaire Mohamed Al Fayed – former owner of one of the most famous shops in the world – is accused of rape and attempted rape by women who worked for him. For the full investigation, search for World of Secrets wherever you get your BBC podcasts.
…",https://www.bbc.co.uk/programmes/p0jxqgzz,2024-10-16T12:00:00Z,"Egyptian billionaire Mohamed Al Fayed former owner of one of the most famous shops in the world is accused of rape and attempted rape by women who worked for him. For the full investigation, search f… [+721 chars]",bbc-news,BBC News
Kevin Peachey,Why this month's inflation figure matters for you,"The rate of rising prices, known as inflation, are a key factor in our own finances, particularly at this time of year.",https://www.bbc.co.uk/news/articles/czrmzm3113po,2024-10-16T09:12:06Z,"As inflation is now below the Bank of England's 2% target, it paves the way for further interest rate cuts.
That would make borrowing money less expensive, but could mean lower returns for savers.
… [+988 chars]",bbc-news,BBC News
Bbc News,UK inflation falls to lowest level in more than three years,"The UK inflation rate fell to 1.7% in September, the lowest rate since April 2021.",https://www.bbc.co.uk/news/articles/czxde3779lxo,2024-10-16T06:06:16Z,"UK inflation fell to 1.7% in the year to September, the lowest rate in more than three years, official figures show.
Lower airfares and petrol prices were the main driver behind the fall, the Office… [+258 chars]",bbc-news,BBC News
Andrew Mcnair,Classic Mineral Water: Contaminated supply threatens jobs,The company distributes bottled water from Lurgan to a number of retailers including Tesco.,https://www.bbc.co.uk/news/articles/cx2ljrv723no,2024-10-16T05:30:47Z,"The company sources its water from four borewells on its site which it says delivers over 100,000 litres of water every hour.
In the statement, which has been seen by the BBC, the company blames the… [+391 chars]",bbc-news,BBC News
Michelle Roberts,"NHS needs better plan around obesity jabs, warn experts",Experts call for an urgent review of obesity treatment services amid booming demand for weight loss jabs.,https://www.bbc.co.uk/news/articles/c5y03p4xlx8o,2024-10-16T02:33:28Z,"They say the government must fix some fundamentals issues in NHS obesity services - chronic underfunding, workforce challenges and unequal access to care. 
The letter to Wes Streeting is being sent … [+2710 chars]",bbc-news,BBC News
Cherry Wilson & Jim Connolly,Inside the £70K 'mafia-style' shoplifting champagne gang,"A crime gang has stolen more than £70,000 of goods from UK supermarkets in 18 months, the BBC hears.",https://www.bbc.co.uk/news/articles/czxdr29lyggo,2024-10-16T01:54:01Z,"Retailers have repeatedly warned that shoplifting gangs are helping to fuel the rise in retail crime - and it is hitting shoppers in their pockets.
Shoplifting added £133 to the cost of an average U… [+1085 chars]",bbc-news,BBC News
Faisal Islam And Mitchell Labiak,"Mental health patients to get job coach visits, says minister","Pensions Secretary Liz Kendall says trials of the idea have produced ""dramatic results"".",https://www.bbc.co.uk/news/articles/c98y09n8201o,2024-10-15T23:25:09Z,"It predicted the Department for Work and Pensions (DWP) would spend £63bn by 2028-29, a jump from £48bn for 2023-24.
I want to see those costs coming down, because I want to have people able to work… [+917 chars]",bbc-news,BBC News
Sam Francis,Keir Starmer does not rule out NI rise for employers,"Sir Keir Starmer says this month's Budget was ""going to be tough"" but would ""focus on rebuilding our country"".",https://www.bbc.co.uk/news/articles/cx20mp7e545o,2024-10-15T07:54:08Z,"The prime minister is adamant that he will not be drawn on budget speculation in advance of the formal announcement in just over a fortnight. 
That is the standard position that governments adopt gi… [+1136 chars]",bbc-news,BBC News
Bbc News,Unemployment rate dips as pay growth slows,Expectations of a rate cut next month increase as pay growth slows to its lowest rate for more than two years.,https://www.bbc.co.uk/news/articles/ce3w7dqn454o,2024-10-15T06:12:49Z,"YaelSelfin, chief economist at KPMG UK, said the latest figures on wages plus slowing economic growth meant she expected the Bank of England to cut rates next month.
The latest figures from the the … [+983 chars]",bbc-news,BBC News
Esme Stallard,"Burning household rubbish now UK’s dirtiest form of power, BBC finds","Nearly half of waste is now burned for energy, but BBC analysis finds it is as dirty as coal.",https://www.bbc.co.uk/news/articles/cp3wxgje5pwo,2024-10-15T04:45:35Z,"The challenge is that even if local authorities wanted to move away from the use of energy-from-waste plants they are often unable to due to restrictive, long-term contracts.
The BBC made Freedom of… [+1460 chars]",bbc-news,BBC News
Ruth Comerford,Obesity: Jobless could get weight loss jabs to return to work,The health secretary announces trials to explore the effect of weight loss drugs on worklessness.,https://www.bbc.co.uk/news/articles/cjd54zd0ezjo,2024-10-15T04:23:54Z,"Illnesses relating to obesity cost the NHS £11bn a year, Streeting said. 
His words came as the government announced a £279 million investment from Lilly, the world's largest pharmaceutical company,… [+1858 chars]",bbc-news,BBC News
João Da Silva,Google goes nuclear to power its artificial intelligence data centres,The tech giant says it will use energy from small reactors to power its use of artificial intelligence.,https://www.bbc.co.uk/news/articles/c748gn94k95o,2024-10-15T01:14:27Z,"""The grid needs new electricity sources to support AI technologies,"" said Michael Terrell, external, senior director for energy and climate at Google.
""This agreement helps accelerate a new technolo… [+2057 chars]",bbc-news,BBC News
Madeline Halpert,Boba tea company apologises over Canada Dragon's Den row,Marvel actor Simu Liu accused Canadian entrepreneurs of culturally appropriating the Taiwanese drink.,https://www.bbc.co.uk/news/articles/c3wp0175w9xo,2024-10-15T00:40:33Z,"Theres an issue of taking something thats very distinctly Asian in its identity and making it better, which I have an issue with, he added.
The Canadian-Chinese actor also pressed the business owner… [+2050 chars]",bbc-news,BBC News
Samantha Granville & Christal Hayes,Sean 'Diddy' Combs facing fresh sexual assault allegations,"The incidents alleged in the complaints, which were filed in New York federal court, span from 1995 until 2021.",https://www.bbc.co.uk/news/articles/c2eklxx9y1ro,2024-10-14T19:01:51Z,One of the accusers said he was 16 when he attended one of the parties in the Hamptons in 1998. He says he was having a conversation with the rapper about breaking into the music industry when an all… [+1484 chars],bbc-news,BBC News
Pamela Tickell,County Durham mum died when 'defective' bed fell and trapped her,"Helen Davey was leaning over the storage area when the mattress platform fell, a report says.",https://www.bbc.co.uk/news/articles/cpv23gz78jgo,2024-10-14T11:11:52Z,"In a Prevention of Future Deaths (PFD) report, the coroner said the existence and use of gas piston bed mechanisms that fail ""presents risk to life"", external.
He said during the course of the inque… [+569 chars]",bbc-news,BBC News
Bbc News,Keir Starmer pledges to scrap red tape to boost UK investment,"The prime minister says he will ""rip out"" bureaucracy, and ask the competition watchdog to prioritise growth.",https://www.bbc.co.uk/news/articles/c3e9yk24w3eo,2024-10-14T06:43:47Z,"The run-up to the conference has been overshadowed by a row over comments made by a minister about P&amp;O Ferries.
A £1bn investment in the London Gateway container port by P&amp;O Ferries owner DP… [+1723 chars]",bbc-news,BBC News
Hannah Ritchie,Australians sell 'farewell tour' merch ahead of royal visit,"Satirical posters, T-shirts and beer coasters urge Australians to ""wave goodbye to royal reign"".",https://www.bbc.co.uk/news/articles/cn0evznvvvko,2024-10-14T00:43:16Z,"Referendums are the only way to change Australia's constitution and have an 80% failure rate.
The nation held one on the question of becoming a republic once before in 1999, which failed, however pu… [+2167 chars]",bbc-news,BBC News
Michael Race,"Mortgage rates unlikely to return to low levels, says Lloyds boss",The boss of the UK's biggest lender says mortgage costs are unlikely to fall to levels seen in the past decade.,https://www.bbc.co.uk/news/articles/cy0g6kxg12do,2024-10-13T10:31:29Z,"High interest rates can affect people in different ways. Mortgage holders with variable or tracker mortgages, or those who are looking to secure new fixed-rate deals, have faced higher monthly paymen… [+1047 chars]",bbc-news,BBC News
Dharshini David,The Budget hack that could soften the tax blow,Here is how the chancellor could choose to tweak the government's borrowing rules to free up more cash.,https://www.bbc.co.uk/news/articles/c981me1qn43o,2024-10-13T06:57:15Z,All these debt measures have various pros and cons. And the one which gives the most favourable answer today may not next year. But all are already published and economists are fairly relaxed about w… [+1938 chars],bbc-news,BBC News
Bbc News,Chris Brown FNB Stadium concert sparks South Africa debate about gender-based violence,"A petition with over 19,000 signatures has been started to stop the singer's concert in South Africa.",https://www.bbc.co.uk/news/articles/cyvy5l27de5o,2024-10-13T06:41:34Z,"The group has started a petition to stop the US artist from performing. It currently has over , external20,000 signatures. , external
The petition was started to send a strong message that we will n… [+1659 chars]",bbc-news,BBC News
Bbc News,Alex Salmond death: Scotland's First Minister John Swinney on Laura Kuenssberg show,"Tory leadership contender Robert Jenrick, Labour's Jonathan Reynolds and actor Brian Cox are also on this morning's show.",https://www.bbc.co.uk/news/live/cj6eg71n4zdt,2024-10-13T05:34:36Z,"Emily AtkinsonLive page editor
And with that, Sunday with Laura Kuenssberg is over for another week.
Much of the show was dominated by tributes to Alex Salmond, who died yesterday aged 69.
In an e… [+431 chars]",bbc-news,BBC News
Noor Nanji,"Wagatha Christie: The luxury hotel, a mini-bar and ongoing feud between Rebekah Vardy and Coleen Rooney","Wagatha Christie: The luxury hotel, a mini-bar and ongoing feud between Rebekah Vardy and Coleen Rooneybbc.co.uk",https://www.bbc.co.uk/news/articles/cz7j8np3nyno,2024-10-12T23:28:40Z,"Having said that, there were still some juicy details.
One of the headline-grabbing claims to emerge involved a stay at a five-star hotel in London.
Vardy's lawyer said Rooney's total legal bill fr… [+1285 chars]",bbc-news,BBC News
Oliver Slow,Neurodiversity: Sisters with health issues eye martial arts glory,Annarose and Lili-Rose want to “change the narrative” about what it means to be neurodiverse.,https://www.bbc.co.uk/news/articles/ckgmv37z7zzo,2024-10-12T16:04:48Z,"He described Lili-Rose, who took up martial arts only last year, as having the heart of a lion.
Shes very, very talented and could go a long way, he said.
Both girls said the martial arts helped th… [+1389 chars]",bbc-news,BBC News
Chris Mason,P&O owner will attend government summit after row,It had been feared they might pull out after Transport Secretary Louise Haigh criticised the ferry firm and urged consumers to boycott the company.,https://www.bbc.co.uk/news/articles/ce81p528ejmo,2024-10-12T12:22:41Z,"The row started after Haigh described P&amp;O as a ""rogue operator"" in an interview with ITV on Wednesday, after it sacked nearly 800 seafarers in 2022 and replaced them with cheaper workers.
Asked … [+899 chars]",bbc-news,BBC News
Sean Coughlan,King Charles says an Australian republic is up to the people,"Ahead of a royal visit, King Charles says it is up to the Australian people to decide if they want to be a republic.",https://www.bbc.co.uk/news/articles/cy4d22yl9kpo,2024-10-12T09:56:18Z,"The letter sent by palace officials restates the existing position, rather than marking any new change in policy - and Buckingham Palace is not saying anything further to the letter's contents.
But … [+2326 chars]",bbc-news,BBC News
Alex Pope,Chalfont St Peter to have £2.5m spent to protect it from floods,A water company says it will spend £2.5m protecting a village from future flooding from a sewer.,https://www.bbc.co.uk/news/articles/c62de7djy4yo,2024-10-12T07:40:50Z,"A new tanker filling point was due to be created off the junction with the High Street, to avoid disruption to residents and businesses. 
Road closures would therefore be in place from the junction … [+757 chars]",bbc-news,BBC News
Chris Mason,Keir Starmer rebukes Louise Haigh over P&O Ferries ‘boycott’ call,"The PM tells the BBC the minister's criticism of a ferry company is not the government's view, ahead of an investment summit.",https://www.bbc.co.uk/news/articles/c0r82pjd8gpo,2024-10-12T02:59:11Z,"On Monday, the UK is hosting its International Investment Summit, where ministers will try to attract billions of pounds of investment.
DP World declined to comment on the reports that the London Ga… [+1111 chars]",bbc-news,BBC News
Lewis Adams,Why Virginia McCullough killed her parents and lived with their bodies,"Movements at the McCullough family home were secretive, but neighbours could never have known why.",https://www.bbc.co.uk/news/articles/cx24g4pq51eo,2024-10-12T00:10:05Z,"Virginia McCullough knew why the police had smashed through her front door, but part of her wondered why it took them so long to discover she had murdered her parents. ""Cheer up, at least you've caug… [+1235 chars]",bbc-news,BBC News
Bbc News,Boeing to axe 10% of staff and slow production of 777x plane,Boeing to axe 10% of staff and slow production of 777x planebbc.co.uk,https://www.bbc.co.uk/news/articles/cevypzd9gklo,2024-10-11T22:54:57Z,"A month-long union strike at Boeing has grown contentious, as approximately 33,000 workers sought a better pay package.
Talks appeared to fall apart this week, and the union's lead negotiator, John … [+548 chars]",bbc-news,BBC News
Bbc News,DP World: P&O Ferries row puts £1bn London port expansion at risk,Reports have suggested the plan is at risk after comments made by Transport Secretary Louise Haigh.,https://www.bbc.co.uk/news/articles/cj9jp3ey0exo,2024-10-11T18:04:58Z,"The disagreement began after Ms Haigh told ITV earlier this week that P&amp;O was a ""rogue operator"" after it sacked nearly 800 seafarers in 2022 and replaced them with cheaper workers.
DP World ins… [+869 chars]",bbc-news,BBC News
Fan Wang,How Xi’s crackdown turned China’s finance high-flyers into ‘rats’,Chinese authorities have been cracking down on businesses from real estate to technology to finance.,https://www.bbc.co.uk/news/articles/crl8xee75wgo,2024-10-11T10:38:13Z,Mr Chen's swanky lifestyle has certainly felt the pinch from this U-turn. He traded a holiday in Europe for a cheaper option: South East Asia. And he says he wouldnt even think about buying again fro… [+2096 chars],bbc-news,BBC News
Bbc News,UK economy returned to growth in August,"The economy grew by 0.2% but there is a warning that the ""broader picture"" is one of ""slowing growth"".",https://www.bbc.co.uk/news/articles/c89l52pwwllo,2024-10-11T06:18:46Z,"Prime Minister Sir Keir Starmer has warned the Budget will be ""painful"", with the government admitting some taxes will rise. 
Liz McKeown, director of economic statistics at the ONS, said accounting… [+611 chars]",bbc-news,BBC News
Jayne Mccubbin,Allergies: 'My school's EpiPen saved my life when I collapsed after drinking ginger beer',Campaigners want businesses to have EpiPens on hand to treat people having dangerous allergic reactions.,https://www.bbc.co.uk/news/articles/crej1py3wlzo,2024-10-11T02:33:05Z,"Under current law, Irish pharmacies and other organisation or business can hold and administer the drug if they have the right training and manage the medicine appropriately. So far, only a small num… [+1656 chars]",bbc-news,BBC News
BBC World Service,Heart and Soul: Reclaiming yoga,"With a global market worth more than $100 billion dollars a year, yoga is a massive industry. With its origins in India, Yoga is often considered to be part of the Hindu tradition, as well as being influenced by other religions including Buddhism and Islam. Y…",https://www.bbc.co.uk/programmes/p0jwyd5c,2024-10-11T00:30:00Z,"With a global market worth more than $100 billion dollars a year, yoga is a massive industry. With its origins in India, Yoga is often considered to be part of the Hindu tradition, as well as being i… [+440 chars]",bbc-news,BBC News
Jim Reed,"NHS trust put in place do-not-resuscitate rule, Covid inquiry told",Patients' families were “horrified but not surprised” when told the blanket policy had been in place.,https://www.bbc.co.uk/news/articles/cd98vpxgp7ko,2024-10-10T17:26:30Z,"Prof Wyllie told the inquiry he had not seen a document from the NHS trust concerned but had heard about the policy from a fellow member of the Resuscitation Council.
The charity, which develops gui… [+860 chars]",bbc-news,BBC News
João Da Silva,Pharma giant GSK to pay $2.2 to settle Zantac lawsuits,"The UK-based firm has reached agreements with law firms representing about 80,000, or 93%, of claimants.",https://www.bbc.co.uk/news/articles/c62r5nn94d7o,2024-10-10T06:30:54Z,"The company said in a statement to investors, external that the settlements ""remove significant financial uncertainty, risk and distraction associated with protracted litigation.""
Zantac was first a… [+950 chars]",bbc-news,BBC News
Lucy Hooker,Rachel Reeves 'must find billions more' in time for Budget - IFS,"Rachel Reeves needs another £16bn to meet pledges, says influential think tank the Institute for Fiscal Studies.",https://www.bbc.co.uk/news/articles/cq64j4rdrqno,2024-10-10T01:44:01Z,"Reeves will set out how she plans to meet a raft of manifesto promises against a tangle of self-imposed restrictions on borrowing, spending and debt.
It will be the governments first big set-piece, … [+1618 chars]",bbc-news,BBC News
BBC World Service,BBC Trending: The curse of the blessing scam,"Female con artists are exploiting superstition and family love to swindle women with Chinese heritage living in the west. The blessing scam is an elaborate piece of criminal street theatre, which over the last few months has claimed victims across North Ameri…",https://www.bbc.co.uk/programmes/p0jwcp4c,2024-10-10T00:30:00Z,"Female con artists are exploiting superstition and family love to swindle women with Chinese heritage living in the west. The blessing scam is an elaborate piece of criminal street theatre, which ove… [+530 chars]",bbc-news,BBC News
Lora Jones,Workers' rights: Sick pay and parental leave part of major overhaul,"A major overhaul of workers' rights is planned, but the changes will not take place for two years.",https://www.bbc.co.uk/news/articles/cp3w8n48234o,2024-10-09T23:03:13Z,"Gary Smith, general secretary of the GMB union, welcomed the bill for ""giving workers the rights they've been denied for so long"", but added there was a ""long way to go"".
""The legislation must be wa… [+815 chars]",bbc-news,BBC News
Bbc News,Indian tycoon Ratan Tata dies aged 86,"His death was announced by the Tata Group, the conglomerate he led for more than two decades.",https://www.bbc.co.uk/news/articles/cjd5835mp4ko,2024-10-09T18:49:14Z,"Natarajan Chandrasekaran added: ""On behalf of the entire Tata family, I extend our deepest condolences to his loved ones.
""His legacy will continue to inspire us as we strive to uphold the principle… [+771 chars]",bbc-news,BBC News
Faisal Islam,Budget plan to spend billions more won’t stop tax rises,Reeves is planning to change borrowing rules to free up billions more in spending for big projects in the upcoming Budget.,https://www.bbc.co.uk/news/articles/c30lrpyr676o,2024-10-09T15:34:02Z,"The governments commitment to fund all day-to-day spending with tax receipts means there is little flexibility in this area.
In fact, Reeves is set to make this self-imposed rule on spending the mai… [+2150 chars]",bbc-news,BBC News
Bbc News,James Cleverly knocked out of Conservative leadership race,"Conservative Party members will vote on the final two candidates, with a result due on 2 November.",https://www.bbc.co.uk/news/articles/cje343q1zy8o,2024-10-09T14:38:00Z,"Robert Jenrick and Kemi Badenoch are through to the final round of the Conservative leadership race after knocking out James Cleverly.
Former business secretary Kemi Badenoch topped the poll of Tory… [+239 chars]",bbc-news,BBC News
João Da Silva,Boeing withdraws 30% pay rise offer to striking workers,The aviation giant accused the union of not giving its proposals serious consideration.,https://www.bbc.co.uk/news/articles/c5y064gz1e3o,2024-10-09T12:59:54Z,"""The union made non-negotiable demands far in excess of what can be accepted if we are to remain competitive as a business,"" Boeing Commercial Airplanes President Stephanie Pope said in a letter sent… [+1468 chars]",bbc-news,BBC News
Riyah Collins,The Office US star Jenna Fischer reveals breast cancer diagnosis,"Jenna Fischer, who starred as receptionist Pam, says she's ""feeling great"" after ten months of treatment.",https://www.bbc.co.uk/news/articles/crkd8g307kro,2024-10-09T09:46:16Z,"There are a number of types of breast cancer and some, like triple positive, are known as hormone receptor-positive cancers.
This means the tumours are encouraged to grow by hormones, such as oestro… [+880 chars]",bbc-news,BBC News
João Da Silva,7-Eleven shares jump as rival Couche-Tard makes new buyout offer,Alimentation Couche-Tard reportedly offered to pay over $47bn for the Japanese-owned retail giant.,https://www.bbc.co.uk/news/articles/cwyv9jgvx21o,2024-10-09T09:14:56Z,"Seven &amp; i shares ended the day 4.7% higher in Tokyo after initially jumping by 9.5%.
The new offer was reportedly submitted to Seven &amp; i on 19 September and no discussions between the two si… [+1152 chars]",bbc-news,BBC News
Tom Bateman,Why has America failed to broker a Middle East ceasefire?,State Department correspondent Tom Bateman takes us through a year of diplomacy failures as the Middle East sits on the brink of total war,https://www.bbc.co.uk/news/articles/cew1jkgd7n8o,2024-10-09T02:38:32Z,"For critics, including some former officials, the US call for an end to the war while supplying Israel with at least $3.8bn (£2.9bn) of arms per year, plus granting supplemental requests since 7 Octo… [+3203 chars]",bbc-news,BBC News
Bbc News,FBI arrests Afghan man over alleged US election day terror plot,The man allegedly plotted to carry out an attack in the US on behalf of the Islamic State,https://www.bbc.co.uk/news/articles/cd7x0pj5xzdo,2024-10-08T22:38:59Z,"Mr Tawhedi is charged with providing, attempting to provide, and conspiracy to provide support or resources to a foreign terrorist organization; and with trying to procure firearms and ammunition to … [+1616 chars]",bbc-news,BBC News
Laura Jones,Jack O'Sullivan family thank EE for phone data release,The family hope the data will provide new information about what happened to Jack on the night he vanished.,https://www.bbc.co.uk/news/articles/cjwdzy036v2o,2024-10-08T17:49:15Z,"""We just need to be able to rule things in or out,"" Ms OSullivan said.
""We don't know what it will tell us, or if it will help us, but we need to know"".
The decision by EE to hand over the data fol… [+730 chars]",bbc-news,BBC News
